Feature Scenario,Testcase Title,Testcase Precondition,Testcase steps,Expected Result
,Transitioning object from STANDARD AWS to GLACIER GCP,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using AWS backend
5. Another bucket created using GCP backend
6. Object is uploaded in STANDARD storage class of AWS backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as GCP backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
,Transitioning object from STANDARD_IA AWS  to GLACIER GCP,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using AWS backend
5. Another bucket created using GCP backend
6. Object is uploaded in STANDARD_IA storage class of AWS backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as GCP backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
,Transitioning object from GLACIER AWS  to GLACIER GCP,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using AWS backend
5. Another bucket created using GCP backend
6. Object is uploaded in GLACIER storage class of AWS backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as GCP  backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
"User can do data lifecycle operations across cloud from Azure Cloud to OBS cloud [Valid Inputs]



























",Transitioning object from STANDARD Azure to STANDARD_IA OBS,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using Azure backend
5. Another bucket created using OBS  backend
6. Object is uploaded in STANDARD storage class of Azure  backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition to STANDARD_IA storage class
5. Select backend as OBS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule across cloud in lifecycle configuration of the bucket


"
,Transitioning object from STANDARD Azure to GLACIER OBS,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using Azure backend
5. Another bucket created using OBS backend
6. Object is uploaded in STANDARD storage class of Azure backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as OBS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
,Transitioning object from STANDARD_IA Azure  to GLACIER OBS,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using Azure backend
5. Another bucket created using OBS backend
6. Object is uploaded in STANDARD_IA storage class of Azure backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as OBS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
,Transitioning object from GLACIER Azure  to GLACIER OBS,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using Azure backend
5. Another bucket created using OBS backend
6. Object is uploaded in GLACIER storage class of Azure backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as OBS  backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
"User can do data lifecycle operations across cloud from Azure Cloud to AWS cloud [Valid Inputs]



























",Transitioning object from STANDARD Azure to STANDARD_IA AWS,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using Azure backend
5. Another bucket created using AWS  backend
6. Object is uploaded in STANDARD storage class of Azure  backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition to STANDARD_IA storage class
5. Select backend as AWS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule across cloud in lifecycle configuration of the bucket


"
,Transitioning object from STANDARD Azure to GLACIER AWS,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using Azure backend
5. Another bucket created using AWS backend
6. Object is uploaded in STANDARD storage class of Azure backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as AWS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
,Transitioning object from STANDARD_IA Azure  to GLACIER AWS,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using Azure backend
5. Another bucket created using AWS backend
6. Object is uploaded in STANDARD_IA storage class of Azure backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as AWS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
,Transitioning object from GLACIER Azure  to GLACIER AWS,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using Azure backend
5. Another bucket created using AWS backend
6. Object is uploaded in GLACIER storage class of Azure backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as AWS  backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
"User can do data lifecycle operations across cloud from Azure Cloud to GCP cloud [Valid Inputs]



























",Transitioning object from STANDARD Azure to STANDARD_IA GCP,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using Azure backend
5. Another bucket created using GCP  backend
6. Object is uploaded in STANDARD storage class of Azure  backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition to STANDARD_IA storage class
5. Select backend as GCP backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule across cloud in lifecycle configuration of the bucket


"
,Transitioning object from STANDARD Azure to GLACIER GCP,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using Azure backend
5. Another bucket created using GCP backend
6. Object is uploaded in STANDARD storage class of Azure backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as GCP backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
,Transitioning object from STANDARD_IA Azure  to GLACIER GCP,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using Azure backend
5. Another bucket created using GCP backend
6. Object is uploaded in STANDARD_IA storage class of Azure backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as GCP backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
,Transitioning object from GLACIER Azure  to GLACIER GCP,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using Azure backend
5. Another bucket created using GCP backend
6. Object is uploaded in GLACIER storage class of Azure backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as GCP  backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
"User can do data lifecycle operations across cloud from GCP Cloud to OBS cloud [Valid Inputs]



























",Transitioning object from STANDARD GCP to STANDARD_IA OBS,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using GCP backend
5. Another bucket created using OBS  backend
6. Object is uploaded in STANDARD storage class of GCP  backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition to STANDARD_IA storage class
5. Select backend as OBS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule across cloud in lifecycle configuration of the bucket


"
,Transitioning object from STANDARD GCP to GLACIER OBS,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using GCP backend
5. Another bucket created using OBS backend
6. Object is uploaded in STANDARD storage class of GCP backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as OBS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
,Transitioning object from STANDARD_IA GCP  to GLACIER OBS,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using GCP backend
5. Another bucket created using OBS backend
6. Object is uploaded in STANDARD_IA storage class of GCP backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as OBS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
,Transitioning object from GLACIER GCP  to GLACIER OBS,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using GCP backend
5. Another bucket created using OBS backend
6. Object is uploaded in GLACIER storage class of GCP backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as OBS  backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
"User can do data lifecycle operations across cloud from Azure Cloud to AWS cloud [Valid Inputs]



























",Transitioning object from STANDARD GCP to STANDARD_IA AWS,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using GCP backend
5. Another bucket created using AWS  backend
6. Object is uploaded in STANDARD storage class of GCP  backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition to STANDARD_IA storage class
5. Select backend as AWS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule across cloud in lifecycle configuration of the bucket


"
,Transitioning object from STANDARD GCP to GLACIER AWS,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using GCP backend
5. Another bucket created using AWS backend
6. Object is uploaded in STANDARD storage class of GCP backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as AWS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
,Transitioning object from STANDARD_IA GCP  to GLACIER AWS,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using GCP backend
5. Another bucket created using AWS backend
6. Object is uploaded in STANDARD_IA storage class of GCP backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as AWS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
,Transitioning object from GLACIER GCP  to GLACIER AWS,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using GCP backend
5. Another bucket created using AWS backend
6. Object is uploaded in GLACIER storage class of GCP backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as AWS  backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
"User can do data lifecycle operations across cloud from GCP Cloud to Azure  cloud [Valid Inputs]



























",Transitioning object from STANDARD GCP to STANDARD_IA Azure,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using GCP backend
5. Another bucket created using Azure  backend
6. Object is uploaded in STANDARD storage class of GCP backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition to STANDARD_IA storage class
5. Select backend as Azure backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule across cloud in lifecycle configuration of the bucket


"
,Transitioning object from STANDARD GCP to GLACIER Azure,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using GCP backend
5. Another bucket created using Azure backend
6. Object is uploaded in STANDARD storage class of GCP backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as Azure backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
,Transitioning object from STANDARD_IA GCP  to GLACIER Azure,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using GCP backend
5. Another bucket created using Azure backend
6. Object is uploaded in STANDARD_IA storage class of GCP backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as Azure backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
,Transitioning object from GLACIER GCP  to GLACIER Azure,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using GCP backend
5. Another bucket created using Azure backend
6. Object is uploaded in GLACIER storage class of GCP backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as Azure backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
